"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Mar 31, 2021 @ 13:35:17.263","35.62%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:13.897","37.33%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:12.263","33.33%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:08.897","40.7%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:07.263","35.53%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:35:03.897","35.56%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:35:02.263","35.66%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:58.897","32.84%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:57.263","37.08%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:53.897","28.94%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:52.263","35.48%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:48.897","28.04%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:47.263","40.49%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:43.897","27.44%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:42.263","32.92%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:38.897","26.69%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:37.263","36.55%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:33.897","28.47%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:32.263","31.97%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:28.897","25.83%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:27.263","33.06%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:23.897","30.16%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:22.263","25.55%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:18.897","31.51%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:17.263","24.93%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:13.897","33.08%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:12.263","24.79%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:08.897","31.28%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:07.263","23.23%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:34:03.897","27.99%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:34:02.269","25.16%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:33:58.897","28.07%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:33:57.263","27.16%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:33:53.897","24.6%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:33:52.263","25.31%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:33:48.897","22%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:33:47.263","28.83%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:33:43.897","20.95%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:33:42.263","23.34%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:33:38.897","21.38%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:33:37.263","23.3%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:33:33.897","21.38%","ip-172-31-2-90"
"Mar 31, 2021 @ 13:33:32.263","17.73%","ip-172-31-8-202"
"Mar 31, 2021 @ 13:33:28.897","20.9%","ip-172-31-2-90"
